Name,Position,Season,Team,GP,MPG,FGM,FGA,FTM,FTA,3P,PPG,APG,RPG,STL,BLK,TOV
Nikola Jokic,C,2024-2025,DEN,77,35.1,10.4,17.7,4.7,5.8,1,26.7,9.2,12.7,1.4,0.8,3.3
Shai Gilgeous-Alexander,PG,2024-2025,OKC,74,34.8,11.2,21.1,8.1,9.3,1.4,32,6.8,5.6,2,0.9,2.3
Luka Doncic,PG,2024-2025,DAL,72,37,11.2,23.1,6.9,8.9,3.7,33.1,9.3,9.1,1.4,0.5,4
Victor Wembanyama,C,2024-2025,SA,70,33.4,9.2,18.8,4.8,5.8,1.8,25.4,4.4,12,1.8,4.3,4.1
Giannis Antetokounmpo,"PF, C",2024-2025,MIL,70,35.4,11.6,19.5,7.5,11.4,0.6,31.3,6.5,11.9,1.1,1.1,3.6
Anthony Davis,"C, PF",2024-2025,LAL,64,35.9,9.6,17.2,5.7,7,0.4,25.2,3.4,12.7,1.2,2.3,2.1
Jayson Tatum,"PF, SF",2024-2025,BOS,76,36,9.2,19.7,5.9,7,3.1,27.5,4.8,8.2,1,0.6,2.6
